Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field ( when figure it out why),Custom field (BusinessValue),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time(h)),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (effect),Custom field (how to avoid),Custom field (reason),Custom field (solved time(actual)),Custom field (solved time(estimated)),Custom field (spokesperson(dev)),Custom field (spokesperson(mkt)),Custom field (when found (dev)),Custom field (when found (mkt)),Comment,Comment,Comment,Comment
投资-excel下载功能，身份证号与手机号码需要脱敏，除了root权限,KINVEST-637,18223,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,zack,zack,18/Sep/17 6:43 PM,24/Nov/17 7:36 PM,27/Nov/17 12:34 PM,,,0,,,,,Jolen,zack,,,,,,,,,,,,,KINVEST-16,,,,0|i013db:,sprint 11-27,,,,2.0,,,,,,,,,,"24/Nov/17 5:26 PM;Jolen;手机信息脱敏格式：135****4568
身份证号脱敏格式：4**************127
注：14个「*」",,,
dev可以在1000个标的没有上传影像资料时收到微信 报警,KINVEST-854,20935,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,hank,hank,21/Nov/17 11:58 AM,24/Nov/17 7:36 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012gl:,sprint 11-27,,,,2.0,,,,,,,,,,,,,
投资后台可以有地方查询到新旧系统的累计交易额，区分企业借款、三农贷款和个人借款，以及贷款余额,KINVEST-799,20262,,Story,To Do,KINVEST,KINVEST,software,admin,,,High,,hank,hank,hank,08/Nov/17 4:01 PM,24/Nov/17 6:05 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012f9:,sprint 11-27,,,,3.0,,,,,,,,,,,,,
本周总结 week summary,KINVEST-852,20915,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,hank,hank,20/Nov/17 6:37 PM,24/Nov/17 6:04 PM,27/Nov/17 12:34 PM,,,0,,,"整体状态为中
上周工作：
1、我来贷 上线还款业务 （以增加资产总量） (0.8)
2、智能-点晴 跟进上线跑量 （以增加资产总量） (0) 
3、融360 完成测试阶段,完成上线跑量 （以增加资产总量） (1)
4、信牛科技 跟进内部标代偿业务,完成上线跑量 （以增加资产总量） (1)
5、投哪网	跟进投哪网测试 （以增加资产总量） (1)
6、投资后台按时间 重建，（以方便修复更改规则的数据） (1)
7、对接p2p代偿接口，完善投资后台代偿方式的收支管理 （以减轻考拉资金压力，减轻清算对账压力）(1)

本周重点
- 投哪网 上线测试内部标, 以增加资产总量 (Rowland)
- 什马金融 完成文档沟通与总体设计，以上线该平台，增加资产量 (Alex)
- 钱兔 完成文档沟通与总体设计，以上线该平台，增加资产量 (Rowland)
- 保证签章签署成功，修复历史签署失败的问题，以保证合同数据正确性(White)
- 各平台可以配置不同时间进行批量扣款，以保证平台对接稳定性 (Alex)
- 合作企业可以在投资后台修改企业信息，以保证达飞可以修改自己错误的信息(Alex)

",,hank,,,,,,,,,,,,,,,,,,0|hzzxpu:,sprint 11-27,,,,1.0,,,,,,,,,,,,,
"投资 -- 为 直投管理 风控 添加 查询功能, 标的名称, 标的id 等等",KINVEST-825,20580,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,15/Nov/17 10:49 AM,24/Nov/17 5:31 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 为 直投管理 风控 添加 查询功能, 标的名称, 标的id 等等",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:z,sprint 11-27,,,,1.0,,,,,,,,,,,,,
"投资 -- 完善企业管理 --企业列表, 添加平台名称显示, 订单列表 添加 支付公司 显示, 银行显示, 不显示银行编码",KINVEST-773,19995,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,Alex,Alex,02/Nov/17 5:05 PM,24/Nov/17 5:30 PM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 完善企业管理 --企业列表, 添加平台名称显示, 订单列表 添加 支付公司 显示, 银行显示, 不显示银行编码",,Alex,,,,,,,,,,,,,,KINVEST-16,,,,0|i013dc:i,sprint 11-27,,,,1.0,,,,,,,,,,,,,
直投-直投管理审核界面的字段显示，可以做到字段顺序固定，以便风控审核时，提高观察效率,KINVEST-61,11412,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,hank,zack,zack,24/Apr/17 11:28 AM,24/Nov/17 5:29 PM,27/Nov/17 12:34 PM,,,0,,,,,zack,,,,,,,,,,,,,,KINVEST-16,,,,0|i013d9:,sprint 11-27,,,,1.0,,,,,,,,,,,,,
优化还款订单，借款人还款或代偿成功，根据P2P带过来的投资者实际还款时间生成订单，避免还款通知延时造成用户流水顺序不对,KAPP-1735,20781,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,jamie,jamie,17/Nov/17 2:46 PM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,jamie,,,,,,,,,,,,,,,,,,0|i011rk:d,Sprint 11.20-11.24,Sprint 11.27-12.01,,,2.0,,,,,,,,,,,,,
用户参与21天转赚转活动后的订单，可以看到更清晰的订单进度和展示,KAPP-1791,21121,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,juna,juna,24/Nov/17 11:09 AM,24/Nov/17 4:38 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012t8:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
后端 - 用户的VIP等级升级后，可以在购买成功页看到popup，以便加强用户的荣誉感,KAPP-1813,21213,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,jamie,jamie,24/Nov/17 3:31 PM,24/Nov/17 4:15 PM,27/Nov/17 12:34 PM,,,0,,,,,jamie,,,,,,,,,,,,,,,,,,0|i012zj:,Sprint 11.27-12.01,,,,6.0,,,,,,,,,,,,,
用户当天购买当天回款后，可以在产品份额不足的情况下由系统发起购买,KAPP-1762,20948,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,amanda,amanda,21/Nov/17 3:48 PM,24/Nov/17 4:09 PM,27/Nov/17 12:34 PM,,,0,,,,,amanda,,,,,,,,,,,,,,,,,,0|i0110d:39,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
用户在开启自动投资后，系统会帮用户购买普通产品，而不会买到复投的产品,KAPP-1781,21092,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,juna,juna,23/Nov/17 6:17 PM,24/Nov/17 3:13 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,,,,,0|i012zh:,Sprint 11.27-12.01,,,,1.0,,,,,,,,,,,,,
用户参加21天转赚转活动，当用户的本金投资完6次后，不再进入下一轮复投，而是陆续回到用户的余额,KAPP-1790,21120,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,jamie,juna,juna,24/Nov/17 11:01 AM,24/Nov/17 3:13 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i012t4:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
(只转6轮)用户可以在挖宝看到21天转赚转的banner，点击进去看到活动页面，可以参与活动,KAPP-1716,20748,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,jump,juna,juna,17/Nov/17 11:11 AM,27/Nov/17 10:20 AM,24/Nov/17 5:43 PM,,,0,,,"https://docs.google.com/spreadsheets/d/18xwWE4GV0mfsHEucKPFf_gP_nmXIGLFJb-7w7SRy5MQ/edit#gid=1674738957

1. 订单金额需要大于等于1000元，否则吐司提示：订单金额须大于等于1000元。
2. 购买页默认金额1000元。
3. 份额没有了button变为灰色，文案变为“售罄”用户点击之后吐司“产品今日已售磬，下次再来吧”

表格只写到6次就好了。

规则（规则不要按UI图，按下面的文字来）
1. 投资1000元起。
2. 如何计息：
    用户将按照匹配的实际债权的回款时间收到利息，计息利率以本金投资的次数为准。
    本金由系统自动复投，进入下一轮投资。
3. 如何退出：
    用户可在订单明细页面提出申请。
    申请后，所有本金按照实际债权的回款计划，自动打回用户余额并结清利息，本金不再复投。
4. 本活动不可使用加息券。",,juna,,,,,,,,,,,,,,KAPP-1714,,,,0|i013p9:,Sprint 11.27-12.01,,,,6.0,,,,,,,,,,23/Nov/17 4:29 PM;juna;U:\金融项目\投资app\V3.3.0\21天转赚转,"23/Nov/17 11:02 PM;juna;渠道号：21round
埋点：21转赚转_点击_立即投资",,
用户不能参加21+21的活动，界面刷不出来产品列表，1个用户买完没有加息,KAPP-1836,21284,,Bug,To Do,KAPP,KAPP,software,admin,,,Medium,,juna,juna,juna,27/Nov/17 11:13 AM,27/Nov/17 11:13 AM,27/Nov/17 12:34 PM,,,0,,,"问题原因：产品配置的时间点，没有跟活动页面的配置时间点一致。
如何解决：管理后台时间配置改为一致
解决时间：已修复
影响范围：周五晚上19:40-21:30
如何避免：以后配置的时间点务必一致。",,juna,,,,,,,,,,,,,,,,,,0|i013sl:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
迁移9000个用户,KAPP-1816,21218,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,ruanzhijun,ruanzhijun,24/Nov/17 3:47 PM,27/Nov/17 11:17 AM,27/Nov/17 12:34 PM,,,0,,,根据共享盘的计划来,,ruanzhijun,,,,,,,,,,,,,,,,,,0|i013m1:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
【删掉！！】本周安排迁移剩余10元以上的用户—becky,KAPP-1829,21272,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,becky,becky,27/Nov/17 10:27 AM,27/Nov/17 11:17 AM,27/Nov/17 12:34 PM,,,0,,,M:\公测数据统计\提交给技术的迁移名单,,becky,,,,,,,,,,,,,,,,,,0|i013st:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
"用户 ""13250146425"" 代充值提示  “由于网络系统的原因,您暂时无法使用当前的服务,请稍候再试 ” 问题处理",KAPP-1833,21277,,Bug,In Progress,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,zmliu,zmliu,27/Nov/17 10:44 AM,27/Nov/17 10:48 AM,27/Nov/17 12:34 PM,,,0,,,,,zmliu,,,,,,,,,,,,,,,,,,0|i013sv:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
【资金规划功能】用户可以选择时间段，系统自动计算出总回款金额（区分省心宝、新手+普通产品）,KAPP-1784,21098,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,Lynn,Lynn,23/Nov/17 6:30 PM,27/Nov/17 9:43 AM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,KAPP-1810,,,,0|i0130l:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
为了提高p2p准确性，需完善klg-p2p测试用例  资产部分(链接看Description),KAPP-1424,19301,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,navy,navy,18/Oct/17 4:15 PM,27/Nov/17 9:43 AM,27/Nov/17 12:34 PM,,,0,,,,,navy,,,,,,,,,,,,,,,,,,0|i013pb:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,18/Oct/17 4:19 PM;navy;需要补充的测试用例链接：https://docs.google.com/spreadsheets/d/1RX4W50QYYZhGpbEGnXwNxnCO1d5I9oGgi3zducmfAaw/edit#gid=1281251816 ，具体不清晰的咨询Eric,,,
运营可以通过预警信息及时了解注册和支付异常,KAPP-1751,20913,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,amanda,amanda,20/Nov/17 6:18 PM,24/Nov/17 4:12 PM,27/Nov/17 12:34 PM,,,0,,,文档第9行和第16行https://docs.google.com/spreadsheets/d/1mM6KhShNwdygS_WNnrZn-Bib_AWA6zgSy0q8PBRyQck/edit#gid=1493138283,,amanda,,,,,,,,,,,,,,,,,,0|i01164:i,Sprint 11.27-12.01,,,,2.0,,,,,,,,,,,,,
用户匹配债权后并该债权放款成功后，当天借款人还款，系统可自动购买同一产品并使用券,KAPP-1419,19236,,Story,To Do,KAPP,KAPP,software,admin,,,Low,,ruanzhijun,Lynn,Lynn,16/Oct/17 6:49 PM,24/Nov/17 4:11 PM,27/Nov/17 12:34 PM,,,0,,,https://docs.google.com/spreadsheets/d/18xwWE4GV0mfsHEucKPFf_gP_nmXIGLFJb-7w7SRy5MQ/edit#gid=227281628,,Lynn,,,,,,,,,,,,,,KAPP-1376,,,,0|i01163:,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
用户能够在3端看到统一的吐司文案,KAPP-803,16206,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,ruanzhijun,Lynn,Lynn,11/Aug/17 1:56 PM,24/Nov/17 3:51 PM,27/Nov/17 12:34 PM,,,0,,,https://docs.google.com/spreadsheets/d/1dJN30ZcTyDEVRbY3ZEA1-NUDeZx9zcKvAlf3f3dA-cI/edit#gid=1667232408,,Lynn,,,,,,,,,,,,,,,,,,0|i01164:,spint 2017.8.14-2017.8.18,spint 2017.8.28-2017.9.1,spint 2017.9.4-2017.9.10,Sprint 11.27-12.01,3.0,,,,,,,,,,,,,
运营希望只给当天当时账户中没有回款加息券的用户，在回款后余额≥100时发加息券，同时发送push提醒,KAPP-1627,20313,,Story,To Do,KAPP,KAPP,software,admin,,,Highest,,ruanzhijun,Sandy,Sandy,09/Nov/17 12:44 PM,24/Nov/17 3:50 PM,27/Nov/17 12:34 PM,,,0,,,"1）用户在收到回款加息券的时候，收到push
push内容：回款啦！0.5%加息券让你赚得更爽>>",,Sandy,,,,,,,,,,,,,,KAPP-1376,,,,0|i01161:,Sprint 11.27-12.01,,,,1.0,,,,,,,,,,,,,
 mongo 备份自动化开发,KIN-761,21222,,Story,To Do,KIN,KIN,software,admin,,,Medium,,kuririn,steven,steven,24/Nov/17 4:13 PM,24/Nov/17 4:14 PM,27/Nov/17 12:34 PM,,,0,,,,,steven,,,,,,,,,,,,,,KIN-553,,,,0|i013mx:,2017-11-27,,,,16.0,,,,,,,,,,,,,
"根据监控值，其他服务，和docker,资源整合。清理多余服务器",KIN-750,21117,,Story,To Do,KIN,KIN,software,admin,,,Medium,,kuririn,steven,steven,24/Nov/17 10:37 AM,24/Nov/17 4:12 PM,27/Nov/17 12:34 PM,,,0,,,,,steven,,,,,,,,,,,,,,KIN-40,,,,0|i0133l:,2017-11-27,,,,16.0,,,,,,,,,,,,,
goose 和 owl 降配（根据监控值合理降配）,KIN-749,21116,,Story,To Do,KIN,KIN,software,admin,,,Medium,,kuririn,steven,steven,24/Nov/17 10:35 AM,24/Nov/17 2:55 PM,27/Nov/17 12:34 PM,,,0,,,,,steven,,,,,,,,,,,,,,KIN-40,,,,0|i0133d:,2017-11-27,,,,8.0,,,,,,,,,,"24/Nov/17 10:36 AM;steven;建议减低为 2核8G，或者2核16G。
",,,
用户可以在提现页面可以知道提现到账时间(特别是周末),KAPP-1672,20585,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,matrix,Lynn,Lynn,15/Nov/17 10:58 AM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i011w0:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,3.0,,,,,,,,,,"15/Nov/17 2:47 PM;Lynn;1.提现页面的那段话，注明非工作日T+1到账

2.产品直接在管理后台配置提现页面的popup进行提醒",,,
更新vip等级获取原账户失败需要通知dev,KAPP-1746,20859,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,matrix,matrix,matrix,20/Nov/17 10:46 AM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,matrix,,,,,,,,,,,,,,,,,,0|i011vz:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,4.0,,,,,,,,,,,,,
产品上架功能的显示条件和购买条件分开，达到某种条件才可买—becky,KAPP-1695,20652,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,matrix,becky,becky,16/Nov/17 10:27 AM,24/Nov/17 6:22 PM,27/Nov/17 12:34 PM,,,0,,,例如全员可见，但LV3等级以上才可买,,becky,,,,,,,,,,,,,,,,,,0|i0110c:gi,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
用户可以在APP更换银行卡，无需解绑后再次绑定,KAPP-1669,20582,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,matrix,Lynn,Lynn,15/Nov/17 10:55 AM,24/Nov/17 4:08 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i0110c:gr,Sprint 11.27-12.01,,,,6.0,,,,,,,,,,15/Nov/17 2:51 PM;Lynn;新网有提供一个换卡的接口，可以直接用。,,,
市场人员可以在后台看到每一个银行卡对应推荐的支付渠道的优先级，并且可以手工调整,KAPP-1632,20320,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,matrix,juna,juna,09/Nov/17 2:25 PM,24/Nov/17 3:14 PM,27/Nov/17 12:34 PM,,,0,,,,,juna,,,,,,,,,,,,,,KAPP-1628,,,,0|i0110d:3,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
市场人员可以在管理后台看到每个银行卡在每个支付渠道的限额,KAPP-1631,20319,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,matrix,juna,juna,09/Nov/17 2:24 PM,24/Nov/17 3:14 PM,27/Nov/17 12:34 PM,,,0,,,https://docs.google.com/spreadsheets/d/18xwWE4GV0mfsHEucKPFf_gP_nmXIGLFJb-7w7SRy5MQ/edit#gid=1589336754,,juna,,,,,,,,,,,,,,KAPP-1628,,,,0|i0110d:2,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
借款人提现使用智能T0,KAPP-1787,21103,,Story,Done,KAPP,KAPP,software,admin,,,Medium,Done,nick,Lynn,Lynn,23/Nov/17 6:40 PM,27/Nov/17 10:00 AM,27/Nov/17 12:34 PM,27/Nov/17 10:00 AM,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i011w4:vi,Sprint 11.20-11.24,Sprint 11.27-12.01,,,1.0,,,,,,,,,,,,,
保证企业代偿正确执行，企业代偿判断余额添加排序锁,KAPP-1738,20789,,Story,Done,KAPP,KAPP,software,admin,,,Medium,Done,nick,nick,nick,17/Nov/17 3:58 PM,27/Nov/17 10:00 AM,27/Nov/17 12:34 PM,27/Nov/17 10:00 AM,,0,,,,,nick,,,,,,,,,,,,,,,,,,0|i011ut:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,6.0,,,,,,,,,,,,,
"避免P2P用户在系统跟新网的余额不一致,P2P要统计用户的购买冻结金额 ",KAPP-1778,21084,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,nick,zmliu,zmliu,23/Nov/17 4:34 PM,27/Nov/17 9:59 AM,27/Nov/17 12:34 PM,,,0,,,,,zmliu,,,,,,,,,,,,,,,,,,0|i0110d:5,Sprint 11.27-12.01,,,,8.0,,,,,,,,,,,,,
优化还款，借款人还款或代偿成功，P2P通知APP时带上每位投资者实际收到还款的时间戳，以便APP根据实际还款时间生成订单,KAPP-1736,20782,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,nick,jamie,jamie,17/Nov/17 2:50 PM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,jamie,,,,,,,,,,,,,,,,,,0|i011rk:f,Sprint 11.20-11.24,Sprint 11.27-12.01,,,1.0,,,,,,,,,,,,,
用户上一次交易未完成，再次购买需要等待,KAPP-1472,19495,,Story,To Do,KAPP,KAPP,software,admin,,,Highest,,nick,navy,navy,23/Oct/17 3:20 PM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,navy,,,,,,,,,,,,,,KAPP-1277,,,,0|i011jo:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,1.0,,,,,,,,,,,,,
直投系统可以与p2p对账，以保证系统稳定，提前预知数据错误,KAPP-1610,20205,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,nick,hank,hank,07/Nov/17 5:16 PM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i011rr:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,0.0,,,,,,,,,,,,,
为了方便数据team 对数，还款订单保存更丰富的还款信息,KAPP-1763,20950,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,nick,nick,nick,21/Nov/17 4:24 PM,24/Nov/17 7:35 PM,27/Nov/17 12:34 PM,,,0,,,,,nick,,,,,,,,,,,,,,,,,,0|i012il:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
数据team可以直接获得标的实际还款期限，要有每个标的投资时间以及结束时间，需要补全历史数据，以便计算考拉收益率，及标的加息利息等,KAPP-1795,21131,,Story,To Do,KAPP,KAPP,software,admin,,,Highest,,nick,bubble,bubble,24/Nov/17 12:28 PM,24/Nov/17 4:46 PM,27/Nov/17 12:34 PM,,,0,,,,,bubble,,,,,,,,,,,,,,,,,,0|i0132d:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
