Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Custom field ( when figure it out why),Custom field (BusinessValue),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Estimated Time(h)),Custom field (Rank),Sprint,Sprint,Sprint,Sprint,Custom field (Story Points),Custom field (effect),Custom field (how to avoid),Custom field (reason),Custom field (solved time(actual)),Custom field (solved time(estimated)),Custom field (spokesperson(dev)),Custom field (spokesperson(mkt)),Custom field (when found (dev)),Custom field (when found (mkt)),Comment,Comment,Comment,Comment
"投资 -- 考虑 直投管理 -- 限额 返回详细 信息: 如 6月 产品 关闭, 期限不符, 等详细信息",KINVEST-866,21048,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,white,Alex,Alex,23/Nov/17 11:25 AM,27/Nov/17 11:22 AM,27/Nov/17 12:34 PM,,,0,,,"投资 -- 考虑 直投管理 -- 限额 返回详细 信息: 如 6月 产品 关闭, 期限不符, 等详细信息",,Alex,,,,,,,,,,,,,,KINVEST-15,,,,0|i012gk:u,sprint 11-27,,,,3.0,,,,,,,,,,,,,
"签章 -- 完善 签章返回错误信息, 以便开发进行debug.",KINVEST-868,21061,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,white,Alex,Alex,23/Nov/17 12:06 PM,27/Nov/17 11:22 AM,27/Nov/17 12:34 PM,,,0,,,"签章 -- 完善 签章返回错误信息, 以便开发进行debug.: 
       现签章返回 p2p 错误信息为: 签章未完成 , 无法得知确切的错误信息, 完善签章返回错误信息. 以便进行debug/",,Alex,,,,,,,,,,,,,,KINVEST-484,,,,0|i012gk:y,sprint 11-27,,,,3.0,,,,,,,,,,,,,
"投资--麦芽贷的还款方式为3, 应是到期还款，但是却显示等额本息",KINVEST-788,20135,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,white,white,white,06/Nov/17 10:48 AM,27/Nov/17 11:21 AM,27/Nov/17 12:34 PM,,,0,,,,,white,,,,,,,,,,,,,,KINVEST-15,,,,0|i012gk:9,11-20——11-25,sprint 11-27,,,1.0,,,,,,,,,,,,,
麦芽贷--麦芽贷可以跑少量标,KINVEST-883,21239,,Story,In Progress,KINVEST,KINVEST,software,admin,,,Medium,,white,white,white,24/Nov/17 5:47 PM,27/Nov/17 11:21 AM,27/Nov/17 12:34 PM,,,0,,,,,white,,,,,,,,,,,,,,,,,,0|i012gk:w,sprint 11-27,,,,5.0,,,,,,,,,,,,,
风控--旧投资后台统计预计平台回款的脚本，为了预测流动性风险,KINVEST-850,20906,,Story,Done,KINVEST,KINVEST,software,admin,,,Medium,Done,white,phoebe,phoebe,20/Nov/17 5:42 PM,27/Nov/17 11:21 AM,27/Nov/17 12:34 PM,27/Nov/17 11:21 AM,,0,,,"1.统计未来7/30/90天 旧投资后台的全部平台的 回款情况
2.统计未来7/30/90天 旧投资后台的我来贷的 回款情况（注意：不要混杂我来贷（新）的数据）

可修改参数：
1.日期
2.可选择平台，未选择时统计全部平台，选择时单独统计 我来贷 的数据",,phoebe,,,,,,,,,,,,,,,,,,0|i0128z:,11-20——11-25,sprint 11-27,,,1.0,,,,,,,,,,,,,
直投项目可以使用新dockerfile构建，保证每次小改动只需要push  1M以内，以提高开发效率,KINVEST-834,20736,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,white,hank,hank,17/Nov/17 7:51 AM,27/Nov/17 10:04 AM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012fu:,sprint 11-27,,,,5.0,,,,,,,,,,,,,
直投-- 让直投healthcheck不能随便被关掉。,KINVEST-891,21267,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,white,white,white,27/Nov/17 10:04 AM,27/Nov/17 10:04 AM,27/Nov/17 12:34 PM,,,0,,,,,white,,,,,,,,,,,,,,,,,,0|i013ql:,sprint 11-27,,,,,,,,,,,,,,,,,
直投-- 企业代偿可以收取考拉服务费部分,KINVEST-849,20878,,Story,Done,KINVEST,KINVEST,software,admin,,,Medium,Done,white,white,white,20/Nov/17 2:01 PM,27/Nov/17 9:49 AM,27/Nov/17 12:34 PM,27/Nov/17 9:49 AM,,0,,,,,white,,,,,,,,,,,,,,KINVEST-15,,,,0|i01246:r,11-20——11-25,sprint 11-27,,,4.0,,,,,,,,,,,,,
签章--每次新增平台不需要修改p2p代码。修改合同id，可以使用平台id,KINVEST-876,21172,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,white,white,white,24/Nov/17 2:41 PM,24/Nov/17 5:44 PM,27/Nov/17 12:34 PM,,,0,,,,,white,,,,,,,,,,,,,,,,,,0|i012gi:,sprint 11-27,,,,5.0,,,,,,,,,,,,,
排查签章失败的原因,KINVEST-867,21058,,Story,To Do,KINVEST,KINVEST,software,admin,,,Medium,,white,hank,hank,23/Nov/17 11:56 AM,24/Nov/17 3:39 PM,27/Nov/17 12:34 PM,,,0,,,,,hank,,,,,,,,,,,,,,,,,,0|i012gh:,sprint 11-27,,,,8.0,,,,,,,,,,,,,
11.29后端-VIP特权【2】-签到宝箱奖励翻倍—becky,KAC-819,20292,,Story,In Progress,KAC,KActivity,software,admin,,,Medium,,young,becky,becky,09/Nov/17 11:53 AM,27/Nov/17 11:48 AM,27/Nov/17 12:34 PM,,,0,,,"https://docs.google.com/spreadsheets/d/1ugCvSq9_CUmTwQhtjxYNb0F90CFcYMjnDY6ZyRF4oTA/edit#gid=1662815420

checklist(在P57-P87行)：
https://docs.google.com/spreadsheets/d/1Qqk6rh_s82hakFju0MAAwQ9vvY8K12B3RpXPA4STaVw/edit#gid=248360219",,becky,,,,,,,,,,,,,,,,,,0|i011eb:,KAC——2017-11-27,,,,6.0,,,,,,,,,,,,,
后端——疯狂抢加息券活动，修改适用产品，加息额度，起用门槛和张数,KAC-900,21227,,Story,Testing,KAC,KActivity,software,admin,,,Highest,,young,tina,tina,24/Nov/17 4:34 PM,27/Nov/17 11:48 AM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i011e9:,KAC——2017-11-27,,,,2.0,,,,,,,,,,,,,
后端——运营希望修改每周打卡的活动规则和加息券，使得加息券不适用7天产品,KAC-888,21160,,Story,Testing,KAC,KActivity,software,admin,,,Highest,,young,tina,tina,24/Nov/17 2:26 PM,27/Nov/17 11:48 AM,27/Nov/17 12:34 PM,,,0,,,"加息券修改：
适用产品：≥14天",,tina,,,,,,,,,,,,,,,,,,0|i011e8:,KAC——2017-11-27,,,,2.0,,,,,,,,,,,,,
后端--跟进王者荣耀2.0测试,KAC-885,21093,,Story,Testing,KAC,KActivity,software,admin,,,Highest,,young,young,young,23/Nov/17 6:22 PM,27/Nov/17 10:53 AM,27/Nov/17 12:34 PM,,,0,,,,,Fernando,young,,,,,,,,,,,,,KAC-875,,,,0|i012wj:,KAC——2017-11-27,,,,6.0,,,,,,,,,,27/Nov/17 10:53 AM;Fernando;https://docs.google.com/spreadsheets/d/1n-tiJsidM3l2lwCF4qwtzn--Cw1JCWg6BVe4wSRxUYs/edit#gid=1933478121,,,
后端——运营希望24号重新上线打考拉活动，修改奖励和概率,KAC-874,21069,,Story,To Do,KAC,KActivity,software,admin,,,Low,,young,tina,tina,23/Nov/17 3:31 PM,27/Nov/17 10:02 AM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i0130i:,KAC——2017-11-27,,,,6.0,,,,,,,,,,,,,
运营希望可以在管理后台-券发送增加黑名单，对黑名单用户，不下发奖励券等,KAC-834,20506,,Story,Testing,KAC,KActivity,software,admin,,,High,,young,amanda,amanda,13/Nov/17 8:23 PM,27/Nov/17 9:33 AM,20/Nov/17 2:08 PM,,,0,,,,,amanda,,,,,,,,,,,,,,KAC-857,,,,0|i00zw7:,KAC——2017-11-13,KAC——2017-11-20,KAC——2017-11-27,,6.0,,,,,,,,,,,,,
后端——我的奖励页以及管理后台发送券奖励，加息券增加一个字段来源,KAC-854,20677,,Story,Testing,KAC,KActivity,software,admin,,,High,,young,tina,tina,16/Nov/17 2:04 PM,27/Nov/17 9:33 AM,22/Nov/17 11:16 AM,,,0,,,,,tina,,,,,,,,,,,,,,KAC-857,,,,0|i00ysc:r,KAC——2017-11-20,KAC——2017-11-27,,,8.0,,,,,,,,,,,,,
后端——前端——管理后台发送券奖励&代码发送奖励时，可配置是否发送push,KAC-856,20679,,Story,Testing,KAC,KActivity,software,admin,,,High,,young,tina,tina,16/Nov/17 2:05 PM,27/Nov/17 9:33 AM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,KAC-857,,,,0|i00ysc:d,KAC——2017-11-20,KAC——2017-11-27,,,6.0,,,,,,,,,,,,,
后端——为了提高活动的灵活性，活动上线&下线时间，奖励参数等在管理后台可配置,KAC-831,20417,,Story,To Do,KAC,KActivity,software,admin,,,Medium,,young,tina,tina,10/Nov/17 5:56 PM,24/Nov/17 4:38 PM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i0130f:,KAC——2017-11-27,,,,6.0,,,,,,,,,,,,,
后端——管理后台可直接配置，奖励为前置加息的活动,KAC-901,21231,,Story,To Do,KAC,KActivity,software,admin,,,Lowest,,young,tina,tina,24/Nov/17 4:37 PM,24/Nov/17 4:37 PM,27/Nov/17 12:34 PM,,,0,,,,,tina,,,,,,,,,,,,,,,,,,0|i013pd:,KAC——2017-11-27,,,,8.0,,,,,,,,,,,,,
后端——运营希望给连续打卡活动加本周已投资金额，方便用户清晰知道跟目标的距离,KAC-869,21028,,Story,To Do,KAC,KActivity,software,admin,,,Medium,,young,Sandy,Sandy,22/Nov/17 6:50 PM,24/Nov/17 4:31 PM,27/Nov/17 12:34 PM,,,0,,,https://docs.google.com/spreadsheets/d/1ugCvSq9_CUmTwQhtjxYNb0F90CFcYMjnDY6ZyRF4oTA/edit#gid=565398035,,Sandy,,,,,,,,,,,,,,,,,,0|i012r5:,KAC——2017-11-27,,,,3.0,,,,,,,,,,,,,
APP 本周总结 week summary 11.27,KAPP-1620,20296,,Story,In Progress,KAPP,KAPP,software,admin,,,Medium,,zmliu,nick,nick,09/Nov/17 12:03 PM,27/Nov/17 12:32 PM,27/Nov/17 12:34 PM,,,0,,,"整体状态为: 中
1. 优化21天转赚转的订单页面，在活动页展示并购买【提高余额复投】Jamie
2. （内测）省心宝可以跑通推标+冻结利息+撤销交易的流程【解决用户回款混乱问题+提高资金复投】Swen
3. 用户知道某个时间段内的回款总额，并看到投资建议【提高用户资金规划】June",,nick,,,,,,,,,,,,,,,,,,0|hzzxrg:,Sprint 11.06-11.10,Sprint 11.13-11.17,Sprint 11.27-12.01,,,,,,,,,,,,,,,
APP 本周总结 week summary 11.20,KAPP-1748,20871,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,zmliu,zmliu,20/Nov/17 12:04 PM,27/Nov/17 12:20 PM,27/Nov/17 12:34 PM,,,0,,,"本周完成情况：
0 iOS+Android 发包：3.9.0 1
1 快转明细页可以引导转存到存管定期【清退原账户资金】 Brady 1
2 “21天转赚转”产品内部员工线上测试【提高复投率】 Jamie 0
3 用户可以在资金流水看到全部流水明细并且看到资金结余情况 Swen 0
4 客服可以给单个用户切换支付渠道的功能【提高支付体验和支付成功率】 Swen 1
5 非工作日提现时，提现金额≤已结算余额，可当天到账（内部灰度测试）【优化提现体验】 Leo 1

下周目标：
1. 优化21天转赚转的订单页面，在活动页展示并购买【提高余额复投】Jamie
2. （内测）省心宝可以跑通推标+冻结利息+撤销交易的流程【解决用户回款混乱问题+提高资金复投】Swen
3. 用户知道某个时间段内的回款总额，并看到投资建议【提高用户资                                                                             
                                                                                                                                                                                         
                                                                                                                                                                                         
                                                                                                                                                                                         
                                                                                      金规划】June

产品Review建议：
1.SM负责协调技术资源，PO不负责
2.提供一套自动化测试工具，提高测试的效率——下周安排
①在没有测试工具前，开发技术要配合验收
3.产品要更早定好需求，让技术花多点时间去做设计和预估

技术Review建议：
1.资金结余预估时，没有包括设计方案的时间——预估时间时，需要把设计方案在脑海过一遍
2.有严重Bug时，系统有预警，但是没有合并到同一个预警平台
——需要把所有预警合并
——需要及时update给其他人
3.PO和技术一起决定是否要去解决某些Bug，是否会影响进度、是否需要紧急投入资源
4.运维要对用户负责——H5页面打不开，需要运维给结果
5.iOS 回款日历为了发包赶进度，开发设计效果不理想，需要完善——如有价值更高的需求，可以先hold
6.Android 回款日历还有更好的实现方案，有时间可以去优化
7.功能跑通了，测试末期才发现体验不够好，要比较晚才去修改会导致加班——要想办法解决",,Lynn,zmliu,,,,,,,,,24/Nov/17 2:47 PM;Lynn;11.20-11.26 user feedback.png;http://jira.tool.kaolalicai.cn/secure/attachment/10207/11.20-11.26+user+feedback.png,,,,,,,,0|hzzxre:,Sprint 11.20-11.24,Sprint 11.27-12.01,,,,,,,,,,,,,"24/Nov/17 2:42 PM;Lynn;*11.20-11.26 用户反馈*
1.为什么回款计划里的预期收益比预想的少很多（等额本息）	58	27.88%
2.回款日怎么还没有按时回款	49	23.56%
3.提现什么时候到账	24	11.54%
4.提现收费吗	15	7.21%
5.为什么收不到回款短信了	13	6.25%","24/Nov/17 2:44 PM;Lynn;*21+21产品购买情况：超标完成*
截止到11.24 下午3点，用户总数：755 购买总金额：5,238,750元","24/Nov/17 2:55 PM;Lynn;*17号上线余额自动投资-上线VIP专属的加息*

总开通人数3277人，开通率14.5%，每天订单500左右，人均3000左右。

*专属加息上线后，并未发现开通率有上升较多。*
猜测原因：大多数用户不知道该功能有加息，没有做太多曝光，接下来会上线1个banner曝光，看下是否有提高开通人数。","24/Nov/17 4:02 PM;Lynn;*某个产品定期明细看到回款进度+订单详情折叠回款计划*
订单详情页_回款计划_点击_显示
点击率 25%，较少用户会主动去查看回款计划。

这个折叠可以让页面更清晰，也不会让用户觉得很烦的。"
11-25  用户总资产显示有122.99，但是看不出来资金在哪里,KAPP-1825,21256,,Bug,Done,KAPP,KAPP,software,admin,,,Highest,Done,zmliu,cici,cici,25/Nov/17 9:30 AM,27/Nov/17 11:56 AM,27/Nov/17 12:34 PM,27/Nov/17 11:56 AM,,0,资产收益,,注册号15022752408,,cici,zmliu,,,,,,,,,,,,,,,,,0|i013sh:,Sprint 11.27-12.01,,,,,,,,,,,,,,"27/Nov/17 11:51 AM;zmliu;问题原因：用户开户时候代充值没有成功,导致钱停留在用户原账户余额，在页面上无法显示
如何解决：代充值失败的两个用户重新执行代充值
解决时间：11.25-11:00 
影响范围：两个开户后代充值没有成功的用户, 涉及金额分别是 122.99 元 ， 0.83元
如何避免：开户后代充值失败可以进行自动补单（未完成）",,,
用户可以在360天期限的产品购买页上看到顶部小喇叭，具体内容见Desc,KAPP-1837,21285,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,Lynn,Lynn,27/Nov/17 11:15 AM,27/Nov/17 11:15 AM,27/Nov/17 12:34 PM,,,0,,,"所有*360天期限*的产品（除了省心宝之外），购买页小喇叭文案：
该产品回款方式为等额本息，每月都归还部分本金和利息，总收益会稍微低一点哦。",,Lynn,,,,,,,,,,,,,,,,,,0|i013sw:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
为了提高APP准确性，需要完善klg-app测试用例 购买部分(链接看Description),KAPP-1423,19300,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,navy,navy,18/Oct/17 4:15 PM,27/Nov/17 8:50 AM,27/Nov/17 12:34 PM,,,0,,,需要补充的测试用例链接：https://docs.google.com/spreadsheets/d/1RX4W50QYYZhGpbEGnXwNxnCO1d5I9oGgi3zducmfAaw/edit#gid=0 ，具体不清晰的咨询Emily,,navy,,,,,,,,,,,,,,,,,,0|i00zjn:,Sprint 11.06-11.10,Sprint 11.20-11.24,Sprint 11.27-12.01,,6.0,,,,,,,,,,,,,
用户不会有逾期回款的体验 (确定解决方案以及实施的技术细节),KAPP-1755,20937,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,Lynn,Lynn,21/Nov/17 2:31 PM,24/Nov/17 4:10 PM,27/Nov/17 12:34 PM,,,0,,,,,Lynn,,,,,,,,,,,,,,,,,,0|i01125:,Sprint 11.27-12.01,,,,4.0,,,,,,,,,,,,,
"管理后台可以看到P2P所有订单类型的错误订单 , 并可以进行补单操作",KAPP-1817,21219,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,zmliu,zmliu,24/Nov/17 3:58 PM,24/Nov/17 4:00 PM,27/Nov/17 12:34 PM,,,0,,,,,zmliu,,,,,,,,,,,,,,,,,,0|i013m9:,Sprint 11.27-12.01,,,,5.0,,,,,,,,,,,,,
"当P2P系统出现问题的预警机制，例如今天代偿问题,如何通知dev 及时处理，确定方案",KAPP-1818,21220,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,zmliu,zmliu,zmliu,24/Nov/17 3:59 PM,24/Nov/17 3:59 PM,27/Nov/17 12:34 PM,,,0,,,,,zmliu,,,,,,,,,,,,,,,,,,0|i013mh:,Sprint 11.27-12.01,,,,7.0,,,,,,,,,,,,,
解决p2p对账文件写入数据库时数据丢失的问题,KAPP-1743,20820,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,,ruanzhijun,ruanzhijun,18/Nov/17 11:18 AM,24/Nov/17 4:36 PM,27/Nov/17 12:34 PM,,,0,,,,,ruanzhijun,,,,,,,,,,,,,,KAPP-1381,,,,0|i013op:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
app增加一个互斥锁的中间件，实现锁api的功能，避免在业务层写锁的代码(主要可以让代码更优雅),KAPP-1741,20817,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,,ruanzhijun,ruanzhijun,17/Nov/17 7:48 PM,24/Nov/17 4:36 PM,27/Nov/17 12:34 PM,,,0,,,,,ruanzhijun,,,,,,,,,,,,,,KAPP-1381,,,,0|i013ox:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
解决p2p对账数据库断开的问题,KAPP-1742,20818,,Story,To Do,KAPP,KAPP,software,admin,,,Medium,,,ruanzhijun,ruanzhijun,18/Nov/17 11:02 AM,24/Nov/17 4:36 PM,27/Nov/17 12:34 PM,,,0,,,,,ruanzhijun,,,,,,,,,,,,,,KAPP-1381,,,,0|i013p5:,Sprint 11.27-12.01,,,,,,,,,,,,,,,,,
在佛山服务器启动各个项目，让整个app跑起来,KIN-754,21190,20083,Sub-task,To Do,KIN,KIN,software,admin,,,Medium,,,steven,steven,24/Nov/17 3:00 PM,24/Nov/17 3:57 PM,27/Nov/17 12:34 PM,,,0,,,"mongo和redis 连接佛山机房的。
如没有redis 自己搭建一个，监听地址不要设置为 0.0.0.0,设置为监听内网端口。
mongo只能用只读账号。
大部分项目启动配置文件路劲为：{项目路劲}/bin/pm2/production.json  
启动方式 pm2 start bin/pm2/production.json    ps:启动前修改连接 mongo url。 有的直接在 bin/production.json。
",,steven,,,,,,,,,,,,,,,,,,0|i013gp:,2017-11-27,,,,,,,,,,,,,,,,,
自测，通过后交付给测试测。,KIN-755,21191,20083,Sub-task,To Do,KIN,KIN,software,admin,,,Medium,,,steven,steven,24/Nov/17 3:00 PM,24/Nov/17 3:16 PM,27/Nov/17 12:34 PM,,,0,,,"注意，一.mongo 地址 要再三确认连接的是佛山机房。
          二.  mongo账号只可以读。",,steven,,,,,,,,,,,,,,,,,,0|i013gx:,2017-11-27,,,,,,,,,,,,,,,,,
在佛山机房的延时mongo创建只读账号,KIN-753,21187,20083,Sub-task,To Do,KIN,KIN,software,admin,,,Medium,,,steven,steven,24/Nov/17 2:58 PM,24/Nov/17 3:14 PM,27/Nov/17 12:34 PM,,,0,,,mongo 一定要连接佛山机房的延时节点，且只能读。,,steven,,,,,,,,,,,,,,,,,,0|i013g1:,2017-11-27,,,,,,,,,,,,,,,,,
佛山机房部署pm2和node环境,KIN-752,21186,20083,Sub-task,To Do,KIN,KIN,software,admin,,,Medium,,,steven,steven,24/Nov/17 2:57 PM,24/Nov/17 3:13 PM,27/Nov/17 12:34 PM,,,0,,,环境按照生产环境的标准部署,,steven,,,,,,,,,,,,,,,,,,0|i013ft:,2017-11-27,,,,,,,,,,,,,,,,,
批量打补丁,KIN-757,21199,20088,Sub-task,To Do,KIN,KIN,software,admin,,,Medium,,,steven,steven,24/Nov/17 3:04 PM,24/Nov/17 3:04 PM,27/Nov/17 12:34 PM,,,0,,,,,steven,,,,,,,,,,,,,,,,,,0|i013ip:,2017-11-27,,,,,,,,,,,,,,,,,
